ID Caso,ID Caso Relacionado,Año,Mes,Día,Código DANE de Municipio,Municipio,Departamento,Región,Modalidad,Presunto Responsable,Descripción Presunto Responsable,Abandono o Despojo Forzado de Tierras,Amenaza o Intimidación,Ataque Contra Misión Médica,Confinamiento o Restricción a la Movilidad,Desplazamiento Forzado,Extorsión,Lesionados Civiles,Pillaje,Tortura,Violencia Basada en Género,Otro Hecho Simultáneo,Total de Víctimas del Caso,Tipo de Armas,latitud-longitud
743297,,1948,4,9,73124,CAJAMARCA,TOLIMA,NORTE DEL TOLIMA,DESCONOCIDA,BANDOLERISMO,NO IDENTIFICADO,0,0,0,0,0,0,0,1,0,,TOMA DE DINAMITA QUE ESTABA DESTINADA A LAS OBRAS PÚBLICAS NACIONALES.,8,ND,POINT (-75.435748 4.436595)
743300,,1948,4,9,76001,SANTIAGO DE CALI,VALLE DEL CAUCA,SUR DEL VALLE,DESCONOCIDA,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,0,0,0,,,5,ND,POINT (-76.521469 3.414162)
743305,,1948,4,9,76001,SANTIAGO DE CALI,VALLE DEL CAUCA,SUR DEL VALLE,DESCONOCIDA,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,0,0,0,,,6,ND,POINT (-76.521469 3.414162)
743309,,1948,4,9,76147,CARTAGO,VALLE DEL CAUCA,NORTE DEL VALLE,DESCONOCIDA,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,0,1,0,,DOS MILITARES HERIDOS DE GRAVEDAD,4,ND,POINT (-75.942264 4.758755)
743393,,1948,8,25,68296,GALAN,SANTANDER,SERRANIA DE LOS YARIGUIES,DESCONOCIDA,BANDOLERISMO,NO IDENTIFICADO,0,0,0,0,0,0,0,1,0,,ASALTO A LA OFICINA DEL JURADO ELECTORAL Y LA TESORERÍA DEL DISTRITO.,6,ND,POINT (-73.287765 6.638415)
743436,,1963,4,7,05000,SIN INFORMACION,ANTIOQUIA,,DESCONOCIDA,AGENTE DEL ESTADO,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,,13,ND,POINT (-75.50455704 6.702032125)
743438,,1963,2,23,05679,SANTA BARBARA,ANTIOQUIA,SUROESTE ANTIOQUEÑO,ATAQUE INDISCRIMINADO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,0,0,0,0,0,0,39,0,0,,DETENCION ARBITRARIA,12,ARMA DE FUEGO - USO DE QUEMICOS Y TIXICOS,POINT (-75.58330371 5.878984956)
743453,,1963,1,25,41885,YAGUARA,HUILA,CENTRO DEL HUILA,DESCONOCIDA,BANDOLERISMO,OTRO,0,0,0,0,0,0,0,0,0,,,11,ND,POINT (-75.51592645 2.646563339)
743485,,1954,5,30,73411,LIBANO,TOLIMA,NORTE DEL TOLIMA,DESCONOCIDA,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,0,0,0,,,4,ARMA CORTO PUNZANTE - ARMA DE FUEGO - OTRO,POINT (-75.04763076 4.877936755)
743514,,1954,7,28,73483,NATAGAIMA,TOLIMA,SUR DEL TOLIMA,ASALTO,BANDOLERISMO,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,,4,ARMA CORTO PUNZANTE - ARMA DE FUEGO,POINT (-75.12200999 3.540518203)
743515,,1954,7,28,73236,DOLORES,TOLIMA,SUR DEL TOLIMA,RUTA,BANDOLERISMO,BANDOLERISMO CONSERVADOR,0,0,0,0,0,0,0,0,0,,,5,ARMA CORTO PUNZANTE - ARMA DE FUEGO,POINT (-74.80256673 3.597863274)
743555,,1954,7,29,73024,ALPUJARRA,TOLIMA,SUR DEL TOLIMA,DESCONOCIDA,BANDOLERISMO,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,,5,ND,POINT (-74.94078233 3.390015064)
743608,CR2017743608,2022,8,6,19473,MORALES,CAUCA,NORTE DEL CAUCA,INTERCEPTACIÓN,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,0,0,0,,DAÑO A BIEN CIVIL,4,ARMA DE FUEGO,POINT (-76.74605152 2.773663981)
743653,,1954,5,15,73236,DOLORES,TOLIMA,SUR DEL TOLIMA,ASALTO,BANDOLERISMO,BANDOLERISMO CONSERVADOR,0,0,0,0,0,0,0,0,0,,,6,ARMA CORTO PUNZANTE - ARMA DE FUEGO,POINT (-74.89684475 3.539036003)
743656,,1954,8,27,73504,ORTEGA,TOLIMA,SUR DEL TOLIMA,RUTA,BANDOLERISMO,NO IDENTIFICADO,0,0,0,0,0,0,0,1,0,,,4,ND,POINT (-75.27824314 3.937793962)
743660,,1954,8,29,73624,ROVIRA,TOLIMA,SUR DEL TOLIMA,ASALTO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL - POLICÍA NACIONAL,0,0,0,0,0,0,0,0,0,,,12,ARMA DE FUEGO,POINT (-75.34758364 4.216730954)
743663,,1954,9,13,73504,ORTEGA,TOLIMA,SUR DEL TOLIMA,DESCONOCIDA,BANDOLERISMO,NO IDENTIFICADO,0,0,0,0,0,0,8,0,0,,,7,ARMA CORTO PUNZANTE - ARMA DE FUEGO,POINT (-75.27824314 3.937793962)
743680,,1954,1,5,73000,SIN INFORMACION,TOLIMA,,RETENCIÓN/EJECUCIÓN,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-72 5.300811904)
743685,,1955,1,14,73000,SIN INFORMACION,TOLIMA,,ASALTO,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,0,1,0,,,6,ARMA CORTO PUNZANTE - ARMA DE FUEGO,POINT (-72 5.300811904)
743698,,1955,0,0,73624,ROVIRA,TOLIMA,SUR DEL TOLIMA,RETENCIÓN/EJECUCIÓN,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-75.34758364 4.216730954)
743733,,1955,7,16,73319,GUAMO,TOLIMA,SUR DEL TOLIMA,SICARIATO,BANDOLERISMO,BANDOLERISMO CONSERVADOR,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-74.97657287 4.076501341)
743736,,1955,7,0,73675,SAN ANTONIO,TOLIMA,SUR DEL TOLIMA,ASALTO,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,2,0,0,,,4,ARMA DE FUEGO,POINT (-75.50991004 3.926088268)
743745,,1947,6,11,68132,CALIFORNIA,SANTANDER,PROVINCIA DE SOTO,ATAQUE INDISCRIMINADO,BANDOLERISMO,NO IDENTIFICADO,0,0,0,0,0,0,2,0,0,,,8,ARMA DE FUEGO,POINT (-72.946295 7.347829)
743813,,1948,2,7,15632,SABOYA,BOYACA,ALTIPLANO CUNDIBOYACENSE,DESCONOCIDA,BANDOLERISMO,BANDOLERISMO LIBERAL,0,0,0,1,0,0,0,0,0,,,4,ND,POINT (-73.73507734 5.75480332)
743817,,1948,2,7,17001,MANIZALES,CALDAS,EJE CAFETERO,ATAQUE INDISCRIMINADO,BANDOLERISMO,NO IDENTIFICADO,0,0,0,0,0,0,13,0,0,,8 CARABINEROS HERIDOS EN CONJUNTO CON SUS CABALLOS.,5,ARMA CORTO PUNZANTE - ARMA DE FUEGO - ARTEFACTO EXPLOSIVO,POINT (-75.491018 5.057655)
743845,,1948,2,29,66594,QUINCHIA,RISARALDA,EJE CAFETERO,DESCONOCIDA,BANDOLERISMO,NO IDENTIFICADO,0,0,0,0,0,0,5,0,0,,,5,ARMA DE FUEGO,POINT (-75.730431 5.340456)
743875,,1948,8,9,15109,BUENAVISTA,BOYACA,ALTIPLANO CUNDIBOYACENSE,ATAQUE INDISCRIMINADO,BANDOLERISMO,BANDOLERISMO LIBERAL,0,0,0,0,0,0,7,0,0,,,8,ARMA DE FUEGO,POINT (-73.94217 5.512594)
743929,,1947,8,24,15469,MONIQUIRA,BOYACA,ALTIPLANO CUNDIBOYACENSE,ATAQUE INDISCRIMINADO,AGENTE DEL ESTADO,POLICÍA NACIONAL,0,1,0,0,0,0,5,0,0,,,5,ARMA DE FUEGO,POINT (-73.573374 5.876331)
743939,,1961,4,25,41548,PITAL,HUILA,SUR DEL HUILA,RETENCIÓN/EJECUCIÓN,BANDOLERISMO,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,,16,ND,POINT (-75.8319516 2.259601773)
743990,,1961,6,25,76670,SAN PEDRO,VALLE DEL CAUCA,CENTRO DEL VALLE,DESCONOCIDA,BANDOLERISMO,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,,5,ND,POINT (-76.20836168 3.98143244)
744054,,1947,12,27,68000,SIN INFORMACION,SANTANDER,,DESCONOCIDA,BANDOLERISMO,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-73.48600894 6.693633184)
744092,,1948,12,10,15176,CHIQUINQUIRA,BOYACA,ALTIPLANO CUNDIBOYACENSE,DESCONOCIDA,BANDOLERISMO,BANDOLERISMO LIBERAL,0,0,0,0,0,0,12,0,0,,,4,ARMA DE FUEGO,POINT (-73.818745 5.61379)
744095,,1949,1,1,76001,SANTIAGO DE CALI,VALLE DEL CAUCA,SUR DEL VALLE,ASESINATO CIRCUNSTANCIAL,AGENTE DEL ESTADO,POLICÍA NACIONAL,0,0,0,0,0,0,5,0,0,,,4,ARMA DE FUEGO,POINT (-76.521469 3.414162)
744124,,2023,1,1,20614,RIO DE ORO,CESAR,SUR DE CESAR,ASALTO,GRUPO ARMADO NO IDENTIFICADO,PRESENCIA GAO SIN ATRIBUCIÓN,0,0,0,0,0,0,0,0,0,,,4,ARMA CORTO PUNZANTE - ARMA DE FUEGO,POINT (-73.386393 8.292292)
744198,,1964,6,18,73555,PLANADAS,TOLIMA,SUR DEL TOLIMA,ASALTO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,0,0,0,0,0,0,0,0,0,,,18,ARTEFACTO EXPLOSIVO,POINT (-75.81684413 3.09897343)
744202,,1964,7,0,05001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,DESCONOCIDA,GRUPO ARMADO NO IDENTIFICADO,PRESENCIA GAO SIN ATRIBUCIÓN,0,0,0,0,0,0,0,0,0,,,4,ND,POINT (-75.61103107 6.257590259)
744207,,1964,7,7,19000,SIN INFORMACION,CAUCA,,DESCONOCIDA,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,0,0,0,0,0,0,0,0,0,,,12,ND,POINT (-72 4)
744219,,1962,8,12,73124,CAJAMARCA,TOLIMA,NORTE DEL TOLIMA,DESCONOCIDA,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,0,0,0,,,4,ND,POINT (-75.49745918 4.406971283)
744240,,1964,0,0,73555,PLANADAS,TOLIMA,SUR DEL TOLIMA,RETENCIÓN/EJECUCIÓN,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,0,0,0,0,0,0,0,0,0,,,4,ND,POINT (-75.81684413 3.09897343)
744244,,2021,5,21,19256,EL TAMBO,CAUCA,NORTE DEL CAUCA,RETENCIÓN/EJECUCIÓN,GRUPO ARMADO NO IDENTIFICADO,PRESENCIA GAO SIN ATRIBUCIÓN,0,0,0,0,0,0,1,0,4,,,4,ARMA DE FUEGO,POINT (-77.00511207 2.534488312)
744255,CR2017744255,2023,8,23,05120,CACERES,ANTIOQUIA,BAJO CAUCA ANTIOQUEÑO,INCURSIÓN,GRUPO POSDESMOVILIZACIÓN,URABEÑOS/AUTODEFENSAS GAITANISTAS DE COLOMBIA/ÁGUILAS NEGRAS/CLAN ÚSUGA,0,0,0,1,1,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-75.22369744 7.665155105)
744284,,2002,3,22,19532,PATIA,CAUCA,PATIA,RUTA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,0,,ESTIGMATIZACIÓN,4,ARMA DE FUEGO,POINT (-76.981075 2.115875)
744379,,2023,2,25,76147,CARTAGO,VALLE DEL CAUCA,NORTE DEL VALLE,ASALTO,GRUPO ARMADO NO IDENTIFICADO,PRESENCIA GAO SIN ATRIBUCIÓN,0,0,0,0,0,0,2,0,0,,,4,ARMA DE FUEGO,POINT (-75.942264 4.758755)
75117,,1996,4,22,05837,TURBO,ANTIOQUIA,URABA,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,0,,,6,ARMA DE FUEGO,POINT (-76.5740377 8.173851745)
75119,,1996,5,17,05837,TURBO,ANTIOQUIA,URABA,ASALTO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,0,1,0,,,4,ND,POINT (-76.5740377 8.173851745)
754667,,2023,8,25,86001,MOCOA,PUTUMAYO,MEDIO PUTUMAYO,SICARIATO,GRUPO ARMADO NO IDENTIFICADO,PRESENCIA GAO SIN ATRIBUCIÓN,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-76.650271 1.152296)
754670,,2021,10,2,05040,ANORI,ANTIOQUIA,NORDESTE ANTIOQUEÑO,RETENCIÓN/EJECUCIÓN,GUERRILLA,DISIDENCIA FARC,0,0,0,0,0,0,0,0,0,,ESTIGMATIZACIÓN,4,ARMA DE FUEGO,POINT (-75.10848954 7.193110778)
754671,,2023,1,30,05134,CAMPAMENTO,ANTIOQUIA,NORTE DE ANTIOQUIA,RETENCIÓN/EJECUCIÓN,GUERRILLA,DISIDENCIA FARC,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-75.28766178 7.036017478)
75907,,1996,8,5,05854,VALDIVIA,ANTIOQUIA,NORTE DE ANTIOQUIA,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-75.38742079 7.294917897)
764716,,1949,6,16,15183,CHITA,BOYACA,ALTIPLANO CUNDIBOYACENSE,DESCONOCIDA,BANDOLERISMO,NO IDENTIFICADO,0,0,0,0,0,0,2,0,0,,,6,MATERIAL INCENDIARIO,POINT (-72.471892 6.187083)
76628,,1998,9,6,05038,ANGOSTURA,ANTIOQUIA,NORTE DE ANTIOQUIA,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,1,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-75.358316 6.861498764)
774738,,1962,10,11,73408,LERIDA,TOLIMA,NORTE DEL TOLIMA,DESCONOCIDA,AGENTE DEL ESTADO,POLICÍA NACIONAL,0,0,0,0,0,0,0,0,0,,,4,ND,POINT (-74.92337178 4.866034592)
774741,,1949,4,24,15442,MARIPI,BOYACA,ALTIPLANO CUNDIBOYACENSE,DESCONOCIDA,BANDOLERISMO,BANDOLERISMO LIBERAL,0,0,0,0,0,0,0,0,0,,,13,ND,POINT (-74.00405 5.550091)
774761,,1962,11,3,41001,NEIVA,HUILA,NORTE DEL HUILA,ATAQUE INDISCRIMINADO,BANDOLERISMO,BANDOLERISMO CONSERVADOR,0,0,0,0,0,0,8,1,9,,,26,ARMA DE FUEGO,POINT (-75.27236232 2.993360046)
774776,,1949,2,27,54172,CHINACOTA,NORTE DE SANTANDER,SURORIENTE DE NORTE DE SANTANDER,DESCONOCIDA,BANDOLERISMO,BANDOLERISMO LIBERAL,1,0,0,0,0,0,0,0,0,,,4,ND,POINT (-72.6047 7.60108)
774858,,1963,2,0,47798,TENERIFE,MAGDALENA,CIENAGA GRANDE DE SANTA MARTA,ASALTO,AGENTE DEL ESTADO,POLICÍA NACIONAL,0,0,0,0,0,0,0,0,4,,,4,ND,POINT (-74.73263001 9.924701267)
774860,,1963,3,0,63302,GENOVA,QUINDIO,EJE CAFETERO,ASALTO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,0,0,0,0,0,0,0,0,0,,,10,ARMA DE FUEGO,POINT (-75.76056695 4.180107773)
774876,,1951,4,0,73873,VILLARRICA,TOLIMA,SUMAPAZ,RETÉN,AGENTE DEL ESTADO,POLICÍA NACIONAL,0,0,0,0,1,0,0,0,0,,,12,ARMA CORTO PUNZANTE - OBJETO CONTUNDENTE,POINT (-74.61896623 3.854384097)
774880,,2023,9,18,50689,SAN MARTIN,META,PIEDEMONTE LLANERO,DESCONOCIDA,GRUPO ARMADO NO IDENTIFICADO,PRESENCIA GAO SIN ATRIBUCIÓN,0,0,0,0,0,0,0,0,0,,,4,ND,POINT (-72.65672742 3.515860962)
