AÑO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,N_SIMPLE,N_EXTORSIVO,TOTAL,Población,Tasa_100k,Total Combatientes,Total de Víctimas del Caso,Asesinatos Selectivos,Victimas Masacre,AGENTE DEL ESTADO,AGENTE DEL ESTADO - GUERRILLA,CRIMEN ORGANIZADO,GRUPO ARMADO NO IDENTIFICADO,GRUPO PARAMILITAR,GRUPO POSDESMOVILIZACIÓN,GUERRILLA,AGENTE DEL ESTADO - GRUPO PARAMILITAR,Presencia,Intensidad,Categoría,Grupo de categoría,num_cai,avg_integrantes
1996,5,ANTIOQUIA,5234,DABEIBA,0,1,1,21864,4.573728503476033,9.0,12.0,66.0,5.0,10.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,conflicto interrumpido,alta intensidad,Fuertemente afectados e interrumpido,3,1.0,18.0
1996,5,ANTIOQUIA,5240,EBEJICO,0,1,1,14911,6.706458319361545,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto pacificado,baja intensidad,Levemente afectados y finalizado,6,2.0,102.0
1996,5,ANTIOQUIA,5250,EL BAGRE,0,2,2,30620,6.531678641410843,4.0,7.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,conflicto interrumpido,alta intensidad,Fuertemente afectados e interrumpido,3,3.0,35.0
1996,5,ANTIOQUIA,5264,ENTRERRIOS,0,1,1,7454,13.415615776764152,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin conflicto,baja intensidad,Sin conflicto,7,1.0,50.0
1996,5,ANTIOQUIA,5266,ENVIGADO,0,2,2,137458,1.4549898878202796,0.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,21.0,1715.0
1996,5,ANTIOQUIA,5282,FREDONIA,0,1,1,24554,4.072656186364747,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,2.0,125.0
1996,5,ANTIOQUIA,5284,FRONTINO,0,1,1,24595,4.065867046147591,3.0,3.0,75.0,9.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,2.0,31.0
1996,5,ANTIOQUIA,5308,GIRARDOTA,2,0,2,34153,5.85600093696015,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,5.0,792.0
1996,5,ANTIOQUIA,5315,GUADALUPE,0,1,1,6624,15.096618357487921,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,3.0,189.0
1996,5,ANTIOQUIA,5315,GUADALUPE,0,1,1,6624,15.096618357487921,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,3.0,189.0
1996,5,ANTIOQUIA,5318,GUARNE,0,2,2,35687,5.604281671196794,2.0,3.0,11.0,10.0,4.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,2.0,62.0
1996,5,ANTIOQUIA,5360,ITAGUI,0,2,2,184376,1.0847398793769254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,33.0,2123.0
1996,5,ANTIOQUIA,5361,ITUANGO,1,0,1,25517,3.9189559901242306,11.0,11.0,46.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,Conflicto permanente,alta intensidad,Fuertemente afectados y persistente,1,2.0,56.0
1996,5,ANTIOQUIA,5368,JERICO,0,1,1,15032,6.652474720596062,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,2.0,49.0
1996,5,ANTIOQUIA,5376,LA CEJA,1,0,1,41044,2.436409706656271,3.0,3.0,73.0,18.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,3.0,128.0
1996,5,ANTIOQUIA,5400,LA UNION,1,3,4,16799,23.81094112744806,4.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,6.0,625.0
1996,5,ANTIOQUIA,5400,LA UNION,1,3,4,16799,23.81094112744806,4.0,5.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,6.0,625.0
1996,5,ANTIOQUIA,5400,LA UNION,1,3,4,16799,23.81094112744806,4.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,6.0,625.0
1996,5,ANTIOQUIA,5411,LIBORINA,0,3,3,10956,27.382256297918946,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,conflicto pacificado,baja intensidad,Levemente afectados y finalizado,6,2.0,30.0
1996,5,ANTIOQUIA,5480,MUTATA,1,3,4,10977,36.439828732804955,61.0,61.0,99.0,28.0,21.0,0.0,0.0,0.0,5.0,0.0,21.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,3.0,50.0
1996,5,ANTIOQUIA,5495,NECHI,0,2,2,16297,12.272197336933178,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,1.0,73.0
1996,5,ANTIOQUIA,5501,OLAYA,0,2,2,3248,61.576354679802954,2.0,2.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,,
1996,5,ANTIOQUIA,5604,REMEDIOS,0,2,2,22449,8.909082809924717,3.0,3.0,28.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,conflicto interrumpido,alta intensidad,Fuertemente afectados e interrumpido,3,4.0,65.0
1996,5,ANTIOQUIA,5607,RETIRO,0,1,1,15691,6.373080109616978,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,,
1996,5,ANTIOQUIA,5615,RIONEGRO,1,3,4,85755,4.664451052416769,4.0,4.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,conflicto pacificado,baja intensidad,Levemente afectados y finalizado,6,13.0,258.0
1996,5,ANTIOQUIA,5615,RIONEGRO,1,3,4,85755,4.664451052416769,4.0,4.0,48.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,conflicto pacificado,baja intensidad,Levemente afectados y finalizado,6,13.0,258.0
1996,5,ANTIOQUIA,5615,RIONEGRO,1,3,4,85755,4.664451052416769,4.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,conflicto pacificado,baja intensidad,Levemente afectados y finalizado,6,13.0,258.0
1996,5,ANTIOQUIA,5615,RIONEGRO,1,3,4,85755,4.664451052416769,3.0,3.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,conflicto pacificado,baja intensidad,Levemente afectados y finalizado,6,13.0,258.0
1996,5,ANTIOQUIA,5615,RIONEGRO,1,3,4,85755,4.664451052416769,3.0,3.0,48.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,conflicto pacificado,baja intensidad,Levemente afectados y finalizado,6,13.0,258.0
1996,5,ANTIOQUIA,5615,RIONEGRO,1,3,4,85755,4.664451052416769,3.0,3.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,conflicto pacificado,baja intensidad,Levemente afectados y finalizado,6,13.0,258.0
1996,5,ANTIOQUIA,5628,SABANALARGA,0,2,2,8208,24.366471734892787,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,10.0,1218.0
1996,5,ANTIOQUIA,5628,SABANALARGA,0,2,2,8208,24.366471734892787,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,10.0,1218.0
1996,5,ANTIOQUIA,5642,SALGAR,0,3,3,21211,14.14360473339305,1.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,1.0,51.0
1996,5,ANTIOQUIA,5656,SAN JERONIMO,2,4,6,12298,48.78842088144414,1.0,1.0,16.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,1.0,74.0
1996,5,ANTIOQUIA,5658,SAN JOSE DE LA MONTAÑA,1,0,1,2968,33.692722371967655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto pacificado,baja intensidad,Levemente afectados y finalizado,6,1.0,32.0
1996,5,ANTIOQUIA,5660,SAN LUIS,0,5,5,13988,35.74492422076065,1.0,2.0,19.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,conflicto interrumpido,alta intensidad,Fuertemente afectados e interrumpido,3,2.0,97.0
1996,5,ANTIOQUIA,5664,SAN PEDRO,0,5,5,16934,29.526396598559113,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,2.0,334.0
1996,5,ANTIOQUIA,5664,SAN PEDRO,0,5,5,16934,29.526396598559113,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,2.0,334.0
1996,5,ANTIOQUIA,5670,SAN ROQUE,5,7,12,20732,57.881535790082964,8.0,8.0,73.0,18.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,3.0,111.0
1996,5,ANTIOQUIA,5674,SAN VICENTE,0,2,2,21834,9.160025648071816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,1.0,32.0
1996,5,ANTIOQUIA,5686,SANTA ROSA DE OSOS,0,1,1,28743,3.4791079567198975,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,1.0,50.0
