AÑO,MUNICIPIO,N_SIMPLE,N_EXTORSIVO,TOTAL,Población,Tasa_100k,Total Combatientes,Total de Víctimas del Caso,Asesinatos Selectivos,Victimas Masacre,AGENTE DEL ESTADO,CRIMEN ORGANIZADO,GRUPO ARMADO NO IDENTIFICADO,GRUPO PARAMILITAR,GRUPO POSDESMOVILIZACIÓN,GUERRILLA,Grupo de categoría,num_cai,avg_integrantes,Presencia_Sin conflicto,Presencia_conflicto interrumpido,Presencia_conflicto pacificado,Intensidad_baja intensidad,Categoría_Fuertemente afectados y persistente,Categoría_Levemente afectados e interrumpido,Categoría_Levemente afectados y finalizado,Categoría_Levemente afectados y persistente,Categoría_Sin conflicto,victimas_pc,violencia_estruct,share_guerrilla,cobertura_cai,personal_pc,diff_guerrilla_param,TOTAL_lag1,TOTAL_roll3
1996,CAREPA,0,1,1,25129,3.979465955668749,19.0,19.0,167.0,11.0,9.0,0.0,0.0,0.0,0.0,10.0,4,4.0,204.0,0,1,0,1,0,1,0,0,0,0.007839547932667437,178.0,0.5263157894736842,0.00015917863822674996,0.008118110549564248,0.9090909090909091,0.0,1.0
1996,EL CARMEN DE VIBORAL,0,4,4,40787,9.80704636281168,6.0,7.0,48.0,8.0,4.0,0.0,0.0,1.0,0.0,4.0,4,2.6,157.6,0,1,0,1,0,1,0,0,0,0.0015446098021428397,14.0,0.6666666666666666,6.374580135827593e-05,0.003863976266947802,0.5,0.0,4.0
1996,CAUCASIA,0,2,2,57229,3.4947316919743487,6.0,6.0,18.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,4,7.0,198.0,0,1,0,1,0,1,0,0,0,0.0004892624368764088,11.0,0.3333333333333333,0.0001223156092191022,0.003459784375054605,0.25,0.0,2.0
1996,CHIGORODO,1,0,1,34966,2.859921066178573,11.0,11.0,246.0,29.0,10.0,0.0,0.0,4.0,0.0,10.0,4,3.0,50.0,0,1,0,1,0,1,0,0,0,0.00817937424927072,275.0,0.9090909090909091,8.57976319853572e-05,0.0014299605330892868,0.4,0.0,1.0
1996,COCORNA,3,12,15,21982,68.23764898553361,1.0,1.0,14.0,10.0,4.0,0.0,0.0,2.0,0.0,4.0,3,1.0,10.0,0,1,0,0,0,0,0,0,0,0.0011372941497588937,1.6,4.0,4.549176599035575e-05,0.00045491765990355747,0.2857142857142857,0.0,15.0
1996,DABEIBA,0,1,1,21864,4.573728503476033,9.0,12.0,66.0,5.0,10.0,0.0,0.0,1.0,0.0,10.0,3,1.0,18.0,0,1,0,0,0,0,0,0,0,0.003796194657885108,71.0,1.1111111111111112,4.5737285034760334e-05,0.000823271130625686,0.75,0.0,1.0
1996,EBEJICO,0,1,1,14911,6.706458319361545,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2.0,102.0,0,0,1,1,0,0,1,0,0,0.00147542083025954,22.0,0.0,0.0001341291663872309,0.006840587485748776,0.0,0.0,1.0
1996,EL BAGRE,0,2,2,30620,6.531678641410843,4.0,7.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,3,3.0,35.0,0,1,0,0,0,0,0,0,0,0.0005551926845199216,5.0,1.25,9.797517962116264e-05,0.0011430437622468974,0.8333333333333334,0.0,2.0
1996,ENTRERRIOS,0,1,1,7454,13.415615776764152,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0,50.0,1,0,0,1,0,0,0,0,1,0.0004024684733029246,3.0,0.0,0.00013415615776764153,0.006707807888382077,0.0,0.0,1.0
1996,ENVIGADO,0,2,2,137458,1.4549898878202796,0.0,1.0,26.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4,21.0,1715.0,0,1,0,1,0,1,0,0,0,0.00019642363485573776,13.0,0.0,0.00015277393822112935,0.012476538288058898,-0.6666666666666666,0.0,2.0
1996,FREDONIA,0,1,1,24554,4.072656186364747,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.0,125.0,0,1,0,1,0,1,0,0,0,0.00036653905677282725,9.0,0.0,8.145312372729494e-05,0.005090820232955933,0.0,0.0,1.0
1996,FRONTINO,0,1,1,24595,4.065867046147591,3.0,3.0,75.0,9.0,4.0,0.0,0.0,1.0,0.0,4.0,4,2.0,31.0,0,1,0,1,0,1,0,0,0,0.003537304330148404,84.0,1.3333333333333333,8.131734092295182e-05,0.0012604187843057533,0.5,0.0,1.0
1996,GIRARDOTA,2,0,2,34153,5.85600093696015,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5.0,792.0,0,1,0,1,0,1,0,0,0,0.00020496003279360525,3.5,0.0,0.00014640002342400374,0.023189763710362195,0.0,0.0,2.0
1996,GUADALUPE,0,1,1,6624,15.09661835748792,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4,3.0,189.0,0,1,0,1,0,1,0,0,0,0.0006038647342995169,4.0,0.0,0.0004528985507246377,0.028532608695652172,0.5,0.0,1.0
1996,GUADALUPE,0,1,1,6624,15.09661835748792,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4,3.0,189.0,0,1,0,1,0,1,0,0,0,0.00015096618357487922,1.0,0.0,0.0004528985507246377,0.028532608695652172,0.5,1.0,1.0
1996,GUARNE,0,2,2,35687,5.604281671196794,2.0,3.0,11.0,10.0,4.0,0.0,0.0,2.0,0.0,4.0,4,2.0,62.0,0,1,0,1,0,1,0,0,0,0.0006725138005436154,10.5,2.0,5.604281671196794e-05,0.0017373273180710063,0.2857142857142857,0.0,2.0
1996,ITAGUI,0,2,2,184376,1.0847398793769254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,33.0,2123.0,0,1,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0001789820800971927,0.011514513819586063,0.0,0.0,2.0
1996,ITUANGO,1,0,1,25517,3.918955990124231,11.0,11.0,46.0,4.0,5.0,0.0,1.0,0.0,0.0,4.0,1,2.0,56.0,0,0,0,0,1,0,0,0,0,0.002390563153975781,50.0,0.36363636363636365,7.837911980248461e-05,0.002194615354469569,0.8,0.0,1.0
1996,JERICO,0,1,1,15032,6.652474720596062,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.0,49.0,0,1,0,1,0,1,0,0,0,6.652474720596061e-05,1.0,0.0,0.00013304949441192123,0.0032597126130920703,0.0,0.0,1.0
1996,LA CEJA,1,0,1,41044,2.436409706656271,3.0,3.0,73.0,18.0,1.0,0.0,0.0,3.0,0.0,1.0,4,3.0,128.0,0,1,0,1,0,1,0,0,0,0.002290225124256895,91.0,0.3333333333333333,7.309229119968814e-05,0.0031186044245200273,-0.4,0.0,1.0
1996,LA UNION,1,3,4,16799,23.81094112744806,4.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4,6.0,625.0,0,1,0,1,0,1,0,0,0,0.00035716411691172096,0.25,0.5,0.00035716411691172096,0.0372045955116376,0.6666666666666666,0.0,4.0
1996,LA UNION,1,3,4,16799,23.81094112744806,4.0,5.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4,6.0,625.0,0,1,0,1,0,1,0,0,0,0.0020834573486517055,7.5,0.5,0.00035716411691172096,0.0372045955116376,0.6666666666666666,4.0,4.0
1996,LA UNION,1,3,4,16799,23.81094112744806,4.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4,6.0,625.0,0,1,0,1,0,1,0,0,0,0.0004166914697303411,0.5,0.5,0.00035716411691172096,0.0372045955116376,0.6666666666666666,4.0,4.0
1996,LIBORINA,0,3,3,10956,27.382256297918943,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6,2.0,30.0,0,0,1,1,0,0,1,0,0,0.000547645125958379,1.6666666666666667,0.0,0.00018254837531945966,0.002738225629791895,0.5,0.0,3.0
1996,MUTATA,1,3,4,10977,36.43982873280496,61.0,61.0,99.0,28.0,21.0,0.0,0.0,5.0,0.0,21.0,4,3.0,50.0,0,1,0,1,0,1,0,0,0,0.01712671950441833,31.75,0.3442622950819672,0.00027329871549603714,0.0045549785916006195,0.5925925925925926,0.0,4.0
1996,NECHI,0,2,2,16297,12.272197336933178,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4,1.0,73.0,0,1,0,1,0,1,0,0,0,0.0004295269067926612,3.0,1.0,6.136098668466589e-05,0.00447935202798061,0.5,0.0,2.0
1996,OLAYA,0,2,2,3248,61.57635467980296,2.0,2.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4,5.8,265.2,0,1,0,1,0,1,0,0,0,0.004618226600985222,6.5,1.0,0.0017857142857142857,0.08165024630541871,0.6666666666666666,0.0,2.0
1996,REMEDIOS,0,2,2,22449,8.909082809924717,3.0,3.0,28.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,3,4.0,65.0,0,1,0,0,0,0,0,0,0,0.0013809078355383312,14.0,2.3333333333333335,0.00017818165619849435,0.0028954519132255332,0.875,0.0,2.0
1996,RETIRO,0,1,1,15691,6.373080109616978,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.8,57.4,0,1,0,1,0,1,0,0,0,0.00038238480657701865,6.0,0.0,0.0001147154419731056,0.003658147982920145,0.0,0.0,1.0
1996,RIONEGRO,1,3,4,85755,4.664451052416769,4.0,4.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6,13.0,258.0,0,0,1,1,0,0,1,0,0,0.00016325578683458691,2.5,0.25,0.00015159465920354498,0.003008570928808816,0.5,0.0,4.0
