FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,TIPO DELITO,CANTIDAD
22/01/1996,08,ATLANTICO,08001,BARRANQUILLA,SECUESTRO EXTORSIVO,1
22/01/1996,20,CESAR,20400,LA JAGUA DE IBIRICO,SECUESTRO EXTORSIVO,1
22/01/1996,20,CESAR,20400,LA JAGUA DE IBIRICO,SECUESTRO EXTORSIVO,1
22/01/1996,05,ANTIOQUIA,05147,CAREPA,SECUESTRO EXTORSIVO,1
22/01/1996,20,CESAR,20400,LA JAGUA DE IBIRICO,SECUESTRO EXTORSIVO,1
23/01/1996,41,HUILA,41551,PITALITO,SECUESTRO EXTORSIVO,1
24/01/1996,54,NORTE DE SANTANDER,54660,SALAZAR,SECUESTRO EXTORSIVO,1
24/01/1996,85,CASANARE,85001,YOPAL,SECUESTRO EXTORSIVO,1
24/01/1996,05,ANTIOQUIA,05664,SAN PEDRO,SECUESTRO EXTORSIVO,1
24/01/1996,41,HUILA,41551,PITALITO,SECUESTRO EXTORSIVO,1
24/01/1996,19,CAUCA,19701,SANTA ROSA,SECUESTRO EXTORSIVO,1
24/01/1996,41,HUILA,41551,PITALITO,SECUESTRO EXTORSIVO,1
25/01/1996,47,MAGDALENA,47288,FUNDACION,SECUESTRO EXTORSIVO,1
25/01/1996,05,ANTIOQUIA,05856,VALPARAISO,SECUESTRO EXTORSIVO,1
25/01/1996,86,PUTUMAYO,86320,ORITO,SECUESTRO EXTORSIVO,1
26/01/1996,13,BOLIVAR,13654,SAN JACINTO,SECUESTRO EXTORSIVO,1
26/01/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
26/01/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
26/01/1996,25,CUNDINAMARCA,25377,LA CALERA,SECUESTRO EXTORSIVO,1
26/01/1996,08,ATLANTICO,08001,BARRANQUILLA,SECUESTRO EXTORSIVO,1
26/01/1996,18,CAQUETA,18256,EL PAUJIL,SECUESTRO EXTORSIVO,1
26/01/1996,13,BOLIVAR,13654,SAN JACINTO,SECUESTRO EXTORSIVO,1
27/01/1996,08,ATLANTICO,08001,BARRANQUILLA,SECUESTRO EXTORSIVO,1
27/01/1996,20,CESAR,20710,SAN ALBERTO,SECUESTRO EXTORSIVO,1
27/01/1996,20,CESAR,20710,SAN ALBERTO,SECUESTRO EXTORSIVO,1
28/01/1996,44,LA GUAJIRA,44650,SAN JUAN DEL CESAR,SECUESTRO EXTORSIVO,1
28/01/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
28/01/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
28/01/1996,20,CESAR,20621,LA PAZ,SECUESTRO EXTORSIVO,1
28/01/1996,20,CESAR,20621,LA PAZ,SECUESTRO EXTORSIVO,1
28/01/1996,20,CESAR,20001,VALLEDUPAR,SECUESTRO EXTORSIVO,1
28/01/1996,44,LA GUAJIRA,44078,BARRANCAS,SECUESTRO EXTORSIVO,1
28/01/1996,05,ANTIOQUIA,05045,APARTADO,SECUESTRO EXTORSIVO,1
29/01/1996,05,ANTIOQUIA,05756,SONSON,SECUESTRO EXTORSIVO,1
29/01/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
30/01/1996,15,BOYACA,15693,SANTA ROSA DE VITERBO,SECUESTRO EXTORSIVO,1
30/01/1996,73,TOLIMA,73675,SAN ANTONIO,SECUESTRO EXTORSIVO,1
30/01/1996,05,ANTIOQUIA,05697,EL SANTUARIO,SECUESTRO EXTORSIVO,1
31/01/1996,70,SUCRE,70717,SAN PEDRO,SECUESTRO EXTORSIVO,1
31/01/1996,68,SANTANDER,68547,PIEDECUESTA,SECUESTRO EXTORSIVO,1
01/02/1996,52,NARIÑO,52001,PASTO,SECUESTRO EXTORSIVO,1
01/02/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
02/02/1996,41,HUILA,41078,BARAYA,SECUESTRO EXTORSIVO,1
02/02/1996,20,CESAR,20550,PELAYA,SECUESTRO EXTORSIVO,1
02/02/1996,85,CASANARE,85430,TRINIDAD,SECUESTRO EXTORSIVO,1
02/02/1996,85,CASANARE,85430,TRINIDAD,SECUESTRO EXTORSIVO,1
03/02/1996,05,ANTIOQUIA,05642,SALGAR,SECUESTRO EXTORSIVO,1
03/02/1996,50,META,50683,SAN JUAN DE ARAMA,SECUESTRO EXTORSIVO,1
04/02/1996,70,SUCRE,70508,OVEJAS,SECUESTRO EXTORSIVO,1
04/02/1996,70,SUCRE,70508,OVEJAS,SECUESTRO EXTORSIVO,1
04/02/1996,70,SUCRE,70508,OVEJAS,SECUESTRO EXTORSIVO,1
04/02/1996,20,CESAR,20011,AGUACHICA,SECUESTRO EXTORSIVO,1
04/02/1996,05,ANTIOQUIA,05615,RIONEGRO,SECUESTRO EXTORSIVO,1
06/02/1996,54,NORTE DE SANTANDER,54001,CUCUTA,SECUESTRO EXTORSIVO,1
06/02/1996,05,ANTIOQUIA,05660,SAN LUIS,SECUESTRO EXTORSIVO,1
06/02/1996,05,ANTIOQUIA,05660,SAN LUIS,SECUESTRO EXTORSIVO,1
06/02/1996,05,ANTIOQUIA,05101,CIUDAD BOLIVAR,SECUESTRO EXTORSIVO,1
07/02/1996,66,RISARALDA,66001,PEREIRA,SECUESTRO EXTORSIVO,1
07/02/1996,20,CESAR,20013,AGUSTIN CODAZZI,SECUESTRO EXTORSIVO,1
07/02/1996,44,LA GUAJIRA,44001,RIOHACHA,SECUESTRO EXTORSIVO,1
07/02/1996,54,NORTE DE SANTANDER,54001,CUCUTA,SECUESTRO EXTORSIVO,1
08/02/1996,05,ANTIOQUIA,05660,SAN LUIS,SECUESTRO EXTORSIVO,1
08/02/1996,05,ANTIOQUIA,05660,SAN LUIS,SECUESTRO EXTORSIVO,1
08/02/1996,19,CAUCA,19001,POPAYAN,SECUESTRO EXTORSIVO,1
